gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
slot,135,Gu Gu Gu M,web,pt-br,TRUE,FALSE,Gu Gu Gu M,pt-br
,,,,zh-cn,,,直式金鸡报喜,zh-cn
,,,,en,,,Gu Gu Gu M,en
,,,,ko,,,Gu Gu Gu M,ko
slot,136,Running Animals,web,pt-br,TRUE,FALSE,Animais em execução,pt-br
,,,,zh-cn,,,奔跑吧猛兽,zh-cn
,,,,en,,,Running Animals,en
,,,,ko,,,러닝 애니몰,ko
,,,,es,,,Animales corriendo,es
slot,137,Disco Night M,web,th,TRUE,FALSE,Noite de Discoteca M,pt-br
,,,,ja,,,直式蹦迪,zh-cn
,,,,pt-br,,,Disco Night M,en
,,,,zh-cn,,,디스코 나이트 M,ko
,,,,en,,,ดิสโก้ไนท์ M,th
,,,,ko,,,ディスコナイト M,ja
slot,138,Move n' Jump,web,ja,TRUE,FALSE,มูฟแอนด์จัมป์,th
,,,,pt-br,,,Salta pa'ca,es
,,,,zh-cn,,,ムーブ＆ジャンプ,ja
,,,,en,,,Mover e pular,pt-br
,,,,ko,,,跳过来,zh-cn
,,,,th,,,Move n' Jump,en
,,,,es,,,움직이고 점프하기,ko
slot,139,Fire Chibi M,web,en,TRUE,FALSE,Fire Chibi M,en
,,,,ko,,,파이어 치비 M,ko
,,,,pt-br,,,Chibi de Fogo M,pt-br
,,,,zh-cn,,,直式火烧连环船,zh-cn
slot,140,Fire Chibi 2,web,th,TRUE,FALSE,火烧连环船2,zh-cn
,,,,pt-br,,,Fire Chibi 2,en
,,,,zh-cn,,,파이어 치비 2,ko
,,,,en,,,เปลวไฟแห่งความร่ำรวย 2,th
,,,,ko,,,Chibi de Fogo 2,pt-br
slot,141,Xmas,web,en,TRUE,FALSE,Xmas,en
,,,,zh-cn,,,圣诞来啦,zh-cn
slot,142,Hephaestus,web,ko,TRUE,FALSE,헤파이토스,ko
,,,,zh-cn,,,火神,zh-cn
,,,,en,,,Hephaestus,en
